i: 1, data: 158, previous:159, count: 0, line:decreased
i: 2, data: 174, previous:158, count: 1, line:increased
i: 3, data: 196, previous:174, count: 2, line:increased
i: 4, data: 197, previous:196, count: 3, line:increased
i: 5, data: 194, previous:197, count: 3, line:decreased
i: 6, data: 209, previous:194, count: 4, line:increased
i: 7, data: 213, previous:209, count: 5, line:increased
i: 8, data: 214, previous:213, count: 6, line:increased
i: 9, data: 222, previous:214, count: 7, line:increased
i: 10, data: 223, previous:222, count: 8, line:increased
i: 11, data: 228, previous:223, count: 9, line:increased
i: 12, data: 229, previous:228, count: 10, line:increased
i: 13, data: 236, previous:229, count: 11, line:increased
i: 14, data: 237, previous:236, count: 12, line:increased
i: 15, data: 238, previous:237, count: 13, line:increased
i: 16, data: 241, previous:238, count: 14, line:increased
i: 17, data: 248, previous:241, count: 15, line:increased
i: 18, data: 255, previous:248, count: 16, line:increased
i: 19, data: 256, previous:255, count: 17, line:increased
i: 20, data: 257, previous:256, count: 18, line:increased
i: 21, data: 269, previous:257, count: 19, line:increased
i: 22, data: 276, previous:269, count: 20, line:increased
i: 23, data: 292, previous:276, count: 21, line:increased
i: 24, data: 302, previous:292, count: 22, line:increased
i: 25, data: 304, previous:302, count: 23, line:increased
i: 26, data: 308, previous:304, count: 24, line:increased
i: 27, data: 309, previous:308, count: 25, line:increased
i: 28, data: 311, previous:309, count: 26, line:increased
i: 29, data: 315, previous:311, count: 27, line:increased
i: 30, data: 314, previous:315, count: 27, line:decreased
i: 31, data: 320, previous:314, count: 28, line:increased
i: 32, data: 323, previous:320, count: 29, line:increased
i: 33, data: 324, previous:323, count: 30, line:increased
i: 34, data: 329, previous:324, count: 31, line:increased
i: 35, data: 330, previous:329, count: 32, line:increased
i: 36, data: 311, previous:330, count: 32, line:decreased
i: 37, data: 340, previous:311, count: 33, line:increased
i: 38, data: 341, previous:340, count: 34, line:increased
i: 39, data: 342, previous:341, count: 35, line:increased
i: 40, data: 341, previous:342, count: 35, line:decreased
